Korean Word,English Meaning,Hindi Meaning,Definition,Korean Sentence,Hindi Sentence
가게,"Store, Shop","इकट्ठा करना","A place where goods are sold","가게에 물건을 사러 갑니다.","मैं दुकान से सामान खरीदने जा रहा हूँ।"
가격,Price,कीमत,"The amount of money expected for something","이 가방의 가격은 얼마입니까?","इस बैग की कीमत कितनी है?"
가구,Furniture,फर्नीचर,"Movable objects intended to support various human activities","가구를 새로 샀습니다.","मैंने नया फर्नीचर खरीदा।"
가깝다,Close,पास होना,"Being near in distance","학교가 집에서 가까워요.","स्कूल मेरे घर के पास है।"
가끔,Sometimes,कभी-कभी,"Occasionally; now and then","가끔 공원에 가요.","मैं कभी-कभी पार्क में जाता हूँ।"
가다,Go,जाना,"To move from one place to another","학교에 갑니다.","मैं स्कूल जा रहा हूँ।"
가르치다,Teach,पढ़ाना,"To impart knowledge","선생님이 학생들을 가르치십니다.","शिक्षक छात्रों को पढ़ा रहे हैं।"
가방,Bag,बैग,"A container used to carry things","가방이 무거워요.","बैग भारी है।"
가볍다,Light,हल्का,"Having little weight","가벼운 옷을 입었어요.","मैंने हल्के कपड़े पहने हैं।"
가수,Singer,गायक,"A person who sings","그녀는 유명한 가수입니다.","वह एक मशहूर गायिका है।"
가슴,"Chest, Breast",छाती,"The front part of a person's body","가슴이 두근거려요.","मेरा दिल धड़क रहा है।"
가요,Song,गाना,"A short poem or other set of words set to music","그 가요는 인기가 많아요.","वह गाना बहुत लोकप्रिय है।"
가운데,Middle,मध्य,"The point or position at an equal distance from the sides","가운데에 앉으세요.","बीच में बैठें।"
가위,Scissors,कैंची,"A tool used for cutting","가위로 종이를 잘랐어요.","मैंने कैंची से कागज काटा।"
가을,"Autumn, Fall",शरद ऋतु,"The season between summer and winter","가을은 시원한 계절입니다.","शरद ऋतु एक ठंडा मौसम है।"
가장,Most,"सबसे ज्यादा","To the greatest extent","그는 가장 높아요.","वह सबसे लंबा है।"
가져가다,"Take away",ले जाना,"To remove something from a place","그는 물건을 가져갔어요.","वह सामान ले गया।"
가져오다,Bring,लाना,"To take or carry someone or something to a place","책을 가져오세요.","किताब लाओ।"
가족,Family,परिवार,"A group consisting of parents and children living together","가족과 함께 시간을 보냈어요.","मैंने अपने परिवार के साथ समय बिताया।"
가지,Branch,शाखा,"A part of a tree","가지가 부러졌어요.","शाखा टूट गई।"
가지다,Have,रखना,"To own, hold, or possess something","그는 많은 돈을 가지고 있어요.","उसके पास बहुत पैसा है।"
각,Each,प्रत्येक,"Every one of two or more considered individually","각 학생은 자기 책을 가지고 있어요.","प्रत्येक छात्र के पास अपनी किताब है।"
간,While,"बीच में","A period of time","간단한 일을 맡겼어요.","उसने मुझे एक आसान काम दिया।"
간단하다,"Simple, Easy",आसान,"Easy to understand or do","이 문제는 간단해요.","यह समस्या आसान है।"
간단히,Simply,"सिर्फ","In a straightforward or uncomplicated manner","간단히 설명해 주세요.","कृपया इसे सरलता से समझाएं।"
간식,Snack,नाश्ता,"A small amount of food eaten between meals","간식으로 과일을 먹었어요.","मैंने नाश्ते में फल खाया।"
간장,"Soy sauce",सोया सॉस,"A dark sauce made from fermented soybeans","간장을 조금 넣으세요.","थोड़ा सा सोया सॉस डालें।"
간호사,Nurse,नर्स,"A person trained to care for the sick","그녀는 간호사입니다.","वह एक नर्स है।"
갈비,"Spareribs",स्पेयररिब्स,"Grilled or roasted ribs of pork or beef","갈비를 먹으러 갔어요.","मैं स्पेयररिब्स खाने गया।"
국수,noodle,सिर,"A type of Korean noodle dish","국수를 먹었어요.","मैंने नूडल्स खाए।"
국어,Korean language,कोरियाई,"The Korean language","한국어를 배우고 있어요.","मैं कोरियाई सीख रहा हूँ।"
국적,"nationality, country of citizenship",राष्ट्रीयता,"The status of belonging to a particular nation","국적을 확인하세요.","कृपया राष्ट्रीयता की पुष्टि करें।"
국제,international,अंतरराष्ट्रीय,"Relating to or involving two or more countries","국제 뉴스가 중요해요.","अंतरराष्ट्रीय समाचार महत्वपूर्ण हैं।"
군인,"soldier, military personnel",सैनिक,"A person who serves in the army","군인들은 훈련을 받습니다.","सैनिक प्रशिक्षण प्राप्त करते हैं।"
굽다,bake,विवाद,"To cook food by dry heat","빵을 구워요.","मैं ब्रेड बेक करता हूँ।"
권,~ book(s),आयतन,"A book or volume","책 한 권을 읽었어요.","मैंने एक किताब पढ़ी।"
귀,ear,कान,"The organ of hearing","귀가 아파요.","मेरे कान में दर्द हो रहा है।"
