Korean Word,English Meaning,Hindi Meaning
가게,"store, shop",इकट्ठा करना
가격,price,कीमत
가구,furniture,फर्नीचर
가깝다,close,पास हो
가끔,sometimes,कभी-कभी
가다,go,जाना
가르치다,teach,पढ़ाना
가방,bag,थैला
가볍다,light,रोशनी
가수,singer,गायक
가슴,"chest, breast",छाती
가요,song,गाना
가운데,middle,मध्य
가위,scissors,कैंची
가을,"autumn, fall",शरद ऋतु
가장,most,अधिकांश
가져가다,take away,लेना
가져오다,bring,लाना
가족,family,परिवार
가지,branch,बैंगन
가지다,have,पास होना
각,each,प्रत्येक
간,while,जिगर
간단하다,"simple, easy",यह सरल है
간단히,simply,केवल
간식,snack,नाश्ता
간장,soy sauce,सोया सॉस
간호사,nurse,देखभाल करना
갈비,"Galvi, spareribs",पसली
갈비탕,"Galbitang, spareribs soup",गैलबिटांग
갈색,brown,भूरा
갈아타다,transfer,परिवर्तन
감,persimmon,ख़ुरमा
감기,cold,ठंडा
감기약,cold medicine,सर्दी की दवा
감다,close ~ (eyes),मोड़ना
감동,sensation,ले जाया गया
감동하다,be impressed,प्रभावित
감사,thank,धन्यवाद
감사드립니다,thank you,धन्यवाद
결과,result,परिणाम
결정,decision,फ़ैसला
결정하다,decide,तय करना
결혼,marriage,शादी
결혼식,wedding ceremony,शादी की रस्म
결혼하다,get married,शादी करना
경기,"competition, game",खेल
경기장,"stadium, arena",स्टेडियम
경복궁,Gyeongbokgung,ग्योंगबोकगंग पैलेस
경주,Gyeongju,दौड़
경찰,police,पुलिस
경찰관,police officer,पुलिस अधिकारी
경찰서,police office,पुलिस कार्यालय
경치,"view, landscape",दृश्य
경험,experience,अनुभव
계단,stairs,सीढ़ियाँ
계란,egg,अंडा
계산하다,calculate,calculate
계속,continue,जारी रखना
계시다,"be, exist (honorific form)",वहाँ होना
계절,season,मौसम
계획,plan,योजना
고기,meat,मांस
고등학교,high school,हाई स्कूल
고등학생,high school student,हाई स्कूल के छात्र
고르다,choose,चुनना
고마웠습니다,Thank you (past tense),धन्यवाद
고맙다,thank,धन्यवाद
고맙습니다,Thank you,धन्यवाद
고모,paternal aunt,चाची
고모부,paternal uncle,चाचा
고속버스,express bus,एक्सप्रेस बस
고양이,cat,बिल्ली
고장,"broken, malfunction",टूट - फूट
고추,red pepper,काली मिर्च
고추장,"Kochujang, red pepper paste",मिर्च का पेस्ट
고치다,fix,हल करना
고프다,hungry,मुझे भूख लगी है
고향,hometown,गृहनगर
곧,soon,जल्द ही
구월,September,सितम्बर
구하다,"save, seek, get",पाना
국,soup,शोरबा
국내,domestic,घरेलू
국립,"nationalestablished, state",स्थापना
국수,noodle,सिर
국어,Korean language,कोरियाई
국적,"nationality, country of citizenship",राष्ट्रीयता
국제,international,अंतरराष्ट्रीय
군인,"soldier, military personnel",सैनिक
굽다,bake,विवाद
권,~ book(s),आयतन
귀,ear,कान
귀엽다,cute,प्यारा
규칙,rule,नियम
귤,mandarin orange,MANDARIN
그,it,वह
그거,it,वह
그것,it,वह
그곳,there,वहाँ
그날,that day,उस दिन
그냥,"just, as it is",अभी
그동안,"meantime, meanwhile, up to now",इस बीच में
그들,"them, they",उन्हें
그때,"then, at that time",उस समय
그래,"Yes, Yeah",ठीक है
그래서,"so, thus",इसलिए
그램,gram,ग्राम
그러나,"but, however",तथापि
그러니까,"so, because",इसलिए
그러면,"then, if so",तब
그런,"then, such",वह
그런데,"by the way, however",तथापि
그럼,then,तब
그렇게,"like that, so",उस तरह
그렇구나,"well, I see.",अच्छा ऐसा है
그렇다,"Yes, that's it.",हाँ
그렇습니다,That's right.,हाँ
그렇지만,"nevertheless, but",लेकिन
그릇,"bowl, container, tableware",कटोरा
김치찌개,Kimchi stew,किम्ची सूप
김포공항,Gimpo International Airport,जिम्पो हवाई अड्डा
까만색,black color,काला
까맣다,black,यह काला है
깎다,"cut, shave",मार मार कर तोड़ देना
깜짝,"startled, surprised",आश्चर्य
깨끗하다,clean,साफ
깨다,"wake up, crack, break",तोड़ना
깨지다,"chip, crack, break",चिप
꺼내다,take out,साथ ले जाएं
껌,chewing gum,च्यूइंग गम
꼭,"exactly, absolutely",कृपया
꽃,flower,फूल
꽃집,florist,फूलों की दुकान
꾸다,dream,सपना
꿈,dream,सपना
끄다,"turn off, extinguish, stop",बंद करें
끓이다,boil,उबलना
끝,end,अंत
끝나다,"finish, end",अंत
끝내다,finish,खत्म करना
끼다,"put on, plug, (fog) rolls in",तह करना
나,I,मुझे
